it_companies_stock.symbol	it_companies_stock.series	it_companies_stock.open	it_companies_stock.high	it_companies_stock.low	it_companies_stock.close	it_companies_stock.last	it_companies_stock.prevclose	it_companies_stock.tottrdqty	it_companies_stock.tottrval	it_companies_stock.mydate	it_companies_stock.totaltrades	it_companies_stock.isin
HCLTECH	EQ	810.0	810.45	798.0	803.8	805.0	805.3	1531730	1.23102785465E9	2016-11-30	57310	INE860A01027
INFY	EQ	973.0	977.0	961.05	975.55	974.05	972.6	4250459	4.13747411955E9	2016-11-30	99676	INE009A01021
MINDTREE	EQ	474.65	480.5	470.2	477.35	477.25	473.65	326420	1.5550912165E8	2016-11-30	11157	INE018I01017
TATAELXSI	EQ	1254.0	1290.0	1254.0	1269.0	1270.0	1254.2	498341	6.3490762845E8	2016-11-30	16543	INE670A01012
TCS	EQ	2265.0	2294.75	2242.3	2276.05	2275.0	2259.85	1722916	3.91474823695E9	2016-11-30	88801	INE467B01029
TECHM	EQ	487.25	489.8	481.35	485.2	487.0	483.85	2604888	1.2633438348E9	2016-11-30	82426	INE669C01036
WIPRO	EQ	465.0	470.95	462.0	465.25	464.85	465.15	2172696	1.0112461548E9	2016-11-30	54451	INE075A01022
HCLTECH	EQ	771.95	812.0	770.05	801.95	799.25	767.8	2738666	2.18685717805E9	2016-11-25	84767	INE860A01027
INFY	EQ	930.45	985.0	930.45	977.5	974.7	930.3	6315690	6.13781460095E9	2016-11-25	206134	INE009A01021
MINDTREE	EQ	468.7	485.0	465.5	478.25	477.05	462.85	667237	3.1872595445E8	2016-11-25	17269	INE018I01017
NIITTECH	EQ	402.0	424.5	401.5	417.4	417.0	400.1	469448	1.950960904E8	2016-11-25	13164	INE591G01017
OFSS	EQ	2958.8	3073.6	2946.8	3046.8	3050.0	2958.8	306793	9.354741089E8	2016-11-25	4378	INE881D01027
TATAELXSI	EQ	1151.0	1270.0	1141.25	1243.25	1238.1	1158.0	2198098	2.687084747E9	2016-11-25	77955	INE670A01012
TCS	EQ	2212.0	2307.25	2192.2	2300.35	2299.8	2188.45	2138074	4.85823827315E9	2016-11-25	125651	INE467B01029
TECHM	EQ	461.9	489.5	461.15	487.25	485.4	458.65	4561987	2.1904393938E9	2016-11-25	83936	INE669C01036
WIPRO	EQ	453.0	467.0	451.0	464.75	463.85	450.75	1279236	5.926046932E8	2016-11-25	32221	INE075A01022
HCLTECH	EQ	729.2	735.45	726.4	730.45	729.7	728.45	2396993	1.75153523375E9	2016-06-30	81785	INE860A01027
INFY	EQ	1180.5	1184.5	1167.95	1170.8	1171.9	1176.85	4673112	5.484981719E9	2016-06-30	117143	INE009A01021
NIITTECH	EQ	499.5	518.4	495.0	512.75	513.65	496.55	372882	1.908266824E8	2016-06-30	13057	INE591G01017
TCS	EQ	2522.0	2562.9	2500.35	2553.1	2548.05	2502.9	2560906	6.48631413805E9	2016-06-30	103449	INE467B01029
TECHM	EQ	509.1	509.7	502.35	505.75	508.5	504.95	2334281	1.18094757645E9	2016-06-30	33931	INE669C01036
WIPRO	EQ	557.7	562.15	555.05	557.95	559.9	554.55	1459731	8.147504979E8	2016-06-30	51032	INE075A01022
DATAMATICS	EQ	110.6	115.5	103.55	112.95	114.0	109.55	2888164	3.16701591E8	2016-12-20	26734	INE365B01017
HCLTECH	EQ	825.0	834.15	824.35	830.15	831.8	824.7	1402284	1.1638110334E9	2016-12-20	62031	INE860A01027
INFY	EQ	1002.0	1019.0	1001.3	1012.15	1013.5	1004.65	3818249	3.86613666785E9	2016-12-20	121711	INE009A01021
TATAELXSI	EQ	1417.25	1447.7	1415.0	1424.3	1429.15	1414.45	444687	6.3599365565E8	2016-12-20	18265	INE670A01012
TCS	EQ	2292.0	2345.0	2287.05	2339.3	2340.0	2288.9	1461380	3.39433356675E9	2016-12-20	49014	INE467B01029
TECHM	EQ	476.9	480.75	473.65	476.75	475.85	473.35	1919780	9.1896405225E8	2016-12-20	56929	INE669C01036
WIPRO	EQ	466.9	469.9	461.65	466.65	468.0	463.55	812684	3.77892418E8	2016-12-20	23387	INE075A01022
DATAMATICS	EQ	53.2	63.05	52.35	61.0	60.5	52.55	1214701	7.504114505E7	2016-05-17	7142	INE365B01017
HCLTECH	EQ	720.0	739.0	720.0	732.3	731.5	718.95	3917360	2.86682908605E9	2016-05-17	69654	INE860A01027
INFY	EQ	1220.0	1225.75	1208.15	1214.25	1213.55	1215.0	1898147	2.3143455306E9	2016-05-17	75775	INE009A01021
TATAELXSI	EQ	1908.0	1934.0	1904.0	1923.85	1921.0	1899.8	418647	8.0409508325E8	2016-05-17	18464	INE670A01012
